Model,Accuracy,Precision,Recall,F1-Score
Linear SVM,0.9447513812154696,0.9447077409162717,0.9447077409162717,0.9447077409162717
Logistic Regression,0.9337016574585635,0.9178082191780822,0.95260663507109,0.9348837209302325
Random Forest,0.9076558800315706,0.9006211180124224,0.9162717219589257,0.9083790133124511
Multinomial NB (α=0.1),0.8910812943962115,0.8655834564254062,0.9257503949447078,0.8946564885496183
Multinomial NB (α=0.5),0.8871349644830308,0.8571428571428571,0.9289099526066351,0.8915845337376801
Multinomial NB (α=1.0),0.8863456985003947,0.8569343065693431,0.9273301737756714,0.8907435508345979
